company_name,scraped_data
State of West Virginia,null
bareMinerals,null
Noble,"Noble Energy Mission, Vision & Values Noble Energy Mission Statement The approach of common purpose with tailored actions allows us to plan, respond, and deliver in ways that address the local needs of people, communities and landscapes.Noble Energy Vision Statement Our vision of creating sustainable, mutually beneficial value permeates everything we do, everywhere we work Noble Energy Values Safety Responsibility Innovation Noble Energy Mission, Vision & Values"
Oak Ridge National Laboratory,"Oak Ridge National Laboratory Mission, Vision & Values Oak Ridge National Laboratory Mission & ValuesORNL supports DOE’s national missions of: Scientific discovery—We assemble teams of experts from diverse backgrounds, equip them with powerful instruments and research facilities, and address compelling national problems; Clean energy—We deliver energy technology solutions for energy-efficient buildings, transportation, and manufacturing, and we study biological, environmental, and climate systems in order to develop new biofuels and bioproducts and to explore the impacts of climate change; Security—We develop and deploy “first-of-a-kind” science-based security technologies to make the world a safer place.Oak Ridge National Laboratory Mission, Vision & Values"
ConnectWise,"Connect Wise Mission, Vision & Values Connect Wise Mission Statement Connect Wise is a software company that connects technology teams to the solutions, services, and people that allow them to thrive.Connect Wise Vision Statement We believe that technology is creating a better future. We connect teams with the platform and solutions that deliver technology as a service to the world.Connect Wise Values Obsess with Partner Success Breathe Innovation Your Voice; Your Company Deliver on What You Say Love What You Do Play as a Team Connect Wise Mission, Vision & Values"
Adtalem Global Education,null
The E.W. Scripps Company,null
Forum Energy Technologies,null
U.S. Department of Energy (DOE),"U.S. Department of Defense Mission, Vision & ValuesU.S. Department of Defense Mission & Values The mission of the Department of Defense is to provide a lethal Joint Force to defend the security of our country and sustain American influence abroad.U.S. Department of Defense Mission, Vision & Values"
Arkansas State University,null
PAE,"PAE Mission, Vision & ValuesPAE Mission Statement To be the preferred provider of integrated engineering process services, facilities and equipment to the Global Upstream and Downstream Oil & Gas, Petrochemical and Associated Industry.PAE Vision Statement To become a Leading Provider of Oil & Gas Services for Upstream and Downstream sectors in Thailand and regional marketsPAE Values Prosperity Compliance Accountability EffeciencyPAE Mission, Vision & Values"
Rhode Island Hospital,"Rhode Island Hospital Mission, Vision & Values Rhode Island Hospital Mission & Values Delivering health with care.Rhode Island Hospital Vision Statement Rhode Island Hospital has expanded beyond Ives’ early vision to become the principal provider of specialty care in the state and a major teaching and research center.Rhode Island Hospital Mission, Vision & Values"
IEEE,"IEEE Mission, Vision & ValuesIEEE Mission & ValuesIEEE's core purpose is to foster technological innovation and excellence for the benefit of humanity.IEEE Vision StatementIEEE will be essential to the global technical community and to technical professionals everywhere, and be universally recognized for the contributions of technology and of technical professionals in improving global conditions.IEEE Mission, Vision & Values"
Hard Rock Cafe,null
Frontier Airlines,"Frontier Airlines Mission, Vision & Values Frontier Airlines Mission & Values Our commitment to you is supported by more than 3,000 professionals who are hard-working, fun-loving and passionate about delivering on the “Low Fares Done Right” promise.Frontier Airlines Mission, Vision & Values"
Duquesne University,null
"University of Michigan College of Literature, Science, and the Arts",null
Publishers Clearing House,"Publishers Clearing House (PCH) Mission, Vision & Values Publishers Clearing House (PCH) Mission Statement To entertain, inspire and delight with winning opportunities, games and relevant, compelling offers! We have a winner every 5 minutes—take a chance!”Publishers Clearing House (PCH) ValuesPCH Core Values Trust. Respect. Integrity. Collaboration. Innovation. Accountability. Execution.Publishers Clearing House (PCH) Mission, Vision & Values"
Constellation,"Constellation Mission, Vision & Values Constellation Mission & Values Maintaining stellar customer service, competitive pricing, and working with and within the communities we serve to help those in need, therefore, is a critical part of our mission.Constellation Mission, Vision & Values"
Central High School,null
City of Tucson,null
Townsquare Interactive,null
CalOptima,null
WellSpan Health,"Well Span Health Mission, Vision & Values Well Span Health Mission & Values Working as one to improve health through exceptional care for all, lifelong wellness and healthy communities.Well Span Health Mission, Vision & Values"
Community Action Partnership,null
Tutor.com,"Tutor.com Mission, Vision & Values Tutor.com Mission & Values To help military families get the help they need with homework, test prep, studying, career transition support and more!Tutor.com Mission, Vision & Values"
City of Boca Raton,null
Phi Delta Theta Fraternity,null
State Farm,"State Farm Insurance Mission, Vision & Values State Farm Insurance Mission Statement At State Farm®, our mission is to help people manage the risks of everyday life, recover from the unexpected, and realize their dreams. We are passionate and driven to create possibilities, and we’re serious about being here to help life go right™ for customers by providing solutions for all of life’s moments.State Farm Insurance Vision Statement Our vision for the future is to be the customer's first and best choice in the products and services we provide. We will continue to be the leader in the insurance industry and we will become a leader in the financial services arena. Our customers' needs will determine our path. Our values will guide us.State Farm Insurance Values Quality Service Relationships Mutual Trust Integrity Financial Strength State Farm Insurance Mission, Vision & Values"
JCPenney,"JC Penney Portraits Mission, Vision & ValuesJC Penney Portraits Mission Statement To provide high-quality photography products for customers' needsJC Penney Portraits Vision StatementJC Penney Portraits is committed to offering their customers superior service and providing high-quality, professional photographs while Creating Memories for a Lifetime(R)JC Penney Portraits Values Agile Pragmatic StronJC Penney Portraits Mission, Vision & Values"
American Water,null
Lovesac,null
Harbor Freight Tools,"Harbor Freight Tools Mission, Vision & Values Harbor Freight Tools Mission Statement At Harbor Freight, our mission is to be the best place to work and the best place to shop.Harbor Freight Tools Vision Statement We value people above all else. We value who you are, what you’ve experienced and how you see the world. We know that our differences make us stronger and that high-performing people with a shared mission and values make us a championship team.Harbor Freight Tools Values Excellence Continuous Improvement Doing the Right Thing Collaboration Humility Investment Community Harbor Freight Tools Mission, Vision & Values"
Health Partners,null
Texas State University,null
Selective Insurance,"""Selective Insurance Mission, Vision & Values Selective Insurance Mission Statement Selective Insurance Group, Inc. is a holding company for 10 property and casualty insurance companies rated """"A"""" (Excellent) by A.M. Best. Through independent agents"
Rain For Rent,null
Angelo State University,null
INTERMIX,null
Philadelphia Housing Authority,"The Children's Hospital of Philadelphia Mission, Vision & Values The Children's Hospital of Philadelphia Mission Statement Children's Hospital of Philadelphia, the oldest hospital in the United States dedicated exclusively to pediatrics, strives to be the world leader in the advancement of healthcare for children by integrating excellent patient care, innovative research and quality professional education into all of its programs.The Children's Hospital of Philadelphia Vision Statement We will be the preeminent institution in the world dedicated to translational research for children.  The Children's Hospital of Philadelphia Research Institute is world-renown, leading research breakthroughs and medical innovations for more than 9 years. The Institute continues its dedication to translating innovative research findings to outstanding patient care. This commitment to excellence will move the CHOP Research Institute from a world-class research institute to the undisputed leader in improving the health of children.The Children's Hospital of Philadelphia Values Integrity Compassion Accountability Respect Excellence The Children's Hospital of Philadelphia Mission, Vision & Values"
Lowes Foods,null
Staples Stores,"Family Dollar Stores Mission, Vision & Values Family Dollar Stores Mission Statement Our mission is to provide amazing values and a great shopping experience to our customers in every store, every day. Our diverse and high performing organization made up of engaged, productive associates help us deliver on all aspects of our mission and drive consistent, profitable growth.Family Dollar Stores Vision Statement The best small-format value and convenience retailer serving the needs of customer in the neighborhoods we serve.Family Dollar Stores Values Serve with Accountability Inspire Belonging Champion Empowerment Operate with Excellence Act with Integrity Family Dollar Stores Mission, Vision & Values"
Boy Scouts of America,"Boy Scouts of America Piedmont Council Mission, Vision & Values Boy Scouts of America Piedmont Council Mission & Values The Piedmont Council's mission is to serve youth by instilling Scouting values preparing them to make ethical choices to achieve their full potential in life. That the purpose of this corporation shall be to promote, through organization and cooperation with other agencies, the ability of boys to do things for themselves and others, to train them in Scoutcraft, and to teach them patriotism, courage, self-reliance, and kindred virtues, using the methods which are now in common use by Boy Scouts. Two kinds of charters are issued by the Boy Scouts of America: one to community organizations and the other to BSA local councils. The first enables community groups to use the Scouting program under their own leadership as a service to their children, youth, and families. The other empowers local councils to help chartered organizations effectively use the Scouting program and to expand the use of the program to other community groups."
Abercrombie & Fitch Co.,"Abercrombie & Fitch Company Mission, Vision & Values Abercrombie & Fitch Company Mission Statement Building leaders of inclusive culture Abercrombie & Fitch Company Vision StatementA culture that advances respect and inspires unity Abercrombie & Fitch Company Values Commitment to Quality Authentic Goodness Always Forward Abercrombie & Fitch Company Mission, Vision & Values"
Southwest Key Programs,null
City of Tallahassee,null
Polytechnic Institute of New York University,null
"Sigma Nu Fraternity, Inc.",null
Nationstar Mortgage,null
Landmark Event Staffing Services Inc,null
Judson ISD,null
Blue Cross and Blue Shield of Nebraska,"Blue Cross and Blue Shield of Texas Mission, Vision & Values Blue Cross and Blue Shield of Texas Mission & Values Our mission is still focused on providing financially sound health care coverage to as many Texans as possible.Blue Cross and Blue Shield of Texas Mission, Vision & Values"
Cincinnati Public Schools,null
Los Angeles Film School,null
Achievement First,"Achievement First Mission, Vision & Values Achievement First Mission & Values Our mission is to deliver on the promise of equal educational opportunity for all of America’s children. We know that every child—regardless of race, zip code or economic status—deserves access to great schools. At Achievement First, our students realize their potential and develop the skills they need to graduate from college, succeed in a competitive world and serve as the next generation of leaders in our community.Achievement First Mission, Vision & Values"
Fresenius Kabi USA,null
Liberty University,"Liberty University Mission, Vision & Values Liberty University Mission Statement Training Champions for Christ Liberty University Vision Statement Maintaining the vision of the founder, Dr. Jerry Falwell, Liberty University develops Christ-centered men and women with the values, knowledge, and skills essential to impact the world.
"
Through its residential and online programs, services
Maryland Institute College of Art,null
MAC Cosmetics,"""MAC Cosmetics Mission, Vision & ValuesMAC Cosmetics Mission & Values“All Races, All Sexes, All Ages” conceived to embrace all consumers. To be the worlds leading make-up authority among both professional make-up artists and consumers.To meet customers need for superior quality services and to provide secure & challenging work environment for all employees. To meet everyday needs for nutrition; hygiene and personal care with brands that help people feel good, look good, and get more out of life. As an organization it commits itself to high standards and creative development with an enterprise concept that all pains have gains. M.A.CAIDSFUND.ORG was launched in 1994, supporting men, women, and children affected by AIDS/HIV globally. M.A.C. introduced the """"""""Kid's helping Kids"""""""" which"
American Addiction Centers,"American Addiction Centers Mission, Vision & Values American Addiction Centers Mission & Values Our Mission. Our mission is to provide quality, compassionate, and innovative care to adults struggling with addiction and co-occurring mental health disorders. Through comprehensive and customized treatment plans, our research-based, empathetic care we instill hope that long-term recovery is possible.American Addiction Centers Mission, Vision & Values"
"Starwood Hotels & Resorts Worldwide, Inc.",null
City of Greensboro,null
USA,"USA Truck Mission, Vision & ValuesUSA Truck Mission StatementUSA Truck's mission is to provide innovative and superior transportation solutions that exceed our customers' expectations. We will foster an ethical and safe culture where our employees are challenged, empowered and rewarded to continuously improve customer and shareholder value.USA Truck Values Accountability Commitment Trust Integrity TeamworkUSA Truck Mission, Vision & Values"
Consulting,"Google Mission, Vision & Values Google Mission Statement Organize the world's information and make it universally accessible and useful.Google Vision Statement To provide access to the world’s information in one click Google Values Great isn’t good enough.Focus on the user, all else will follow.It’s best to do one thing really well.Fast is better than slow.Democracy on the web works.You can make money without doing evil.There’s always more information.The need for information crosses all bor You can be serious without a suit.You don’t need to be at your desk Google Mission, Vision & Values"
Mercer University,null
The New School,null
WellSky,null
Life Time Inc.,null
Georgia Institute of Technology,null
Oregon Health Authority,null
PRC,null
Tufts University School of Dental Medicine,null
KW Commercial,null
Overtime,"Overtime Mission, Vision & Values Overtime Vision Statement Overtime Mission, Vision & Values"
El Camino College,null
Maxim Healthcare Staffing,null
State of Connecticut,null
SkyWest Airlines,"Sky West Airlines Mission, Vision & Values Sky West Airlines Mission & Values We understand and value the priceless commodity of time. We respect every individual's quality of life and are committed to promoting dignity and trust in all we do.
"
We strive to be the Partner of Choice, Employer of Choice and Investment of Choice.Sky West Airlines Mission
"The Bon-Ton Stores, Inc.",null
Entrepreneur,"""Entrepreneur.com Mission, Vision & Values Entrepreneur.com Mission & Values Or consider the statement one entrepreneur developed for her consulting business: """"ABC Enterprises is a company devoted to developing human potential. Our mission is to help people create innovative solutions and make informed choices to improve their lives.Oct 30"
IEM,"IEM Mission, Vision & ValuesIEM Mission StatementIEM’s mission is to build a safe, secure and resilient worldIEM ValuesWE BUILD INNOVATIVE AND ACTIONABLE SOLUTIONSWE ARE RESPONSIVE AND FLEXIBLEWE BUILD COLLABORATIVE RELATIONSHIPSWE MAINTAIN THE HIGHEST ETHICAL STANDARDSIEM Mission, Vision & Values"
Elkus Manfredi Architects,null
The Aerospace Corporation,"The Aerospace Corporation Mission, Vision & Values The Aerospace Corporation Mission & Values This is an exciting time for space. Increasing numbers of industry participants require efficiency to uncover and eliminate potential issues early in their processes. Spanning all stages of the space lifecycle, from concept to operations, mission success at The Aerospace Corporation is the result of decades of experience, a highly-skilled technical staff, and specialized tools developed to tackle the challenges of space.The Aerospace Corporation Mission, Vision & Values"
By Light Professional IT Services,null
Colorado State Public Defender,null
BECU,null
HITT Contracting Inc.,null
Nelnet,"Nelnet Mission, Vision & Values Nelnet Mission Statement Creating opportunities for people where they live, learn, and work.Nelnet Vision Statement To empower our customers to achieve their dreams.Nelnet Values Provide superior customer experiences Create an awesome work environment Pursue opportunities for diversification Communicate openly and honestly Give back to the communities in which we Nelnet Mission, Vision & Values"
Loehmann's,null
Stewart & Stevenson,"Stewart's Shops Mission, Vision & Values Stewart's Shops Mission Statement We are committed to growing strong communities. Together with the Dake Foundations, Stewart's Shops donates over $7 million to local non-profit organizations Stewart's Shops Vision Statement People are the key to our success and our company culture contributes to the positive atmosphere in our shops, corporate office and plant Stewart's Shops Values Retail operations Corporate Health benefits Stewart's Shops Mission, Vision & Values"
Research Foundation of The City University of New York,null
StretchLab Franchise,"RMH Franchise Mission, Vision & ValuesRMH Franchise Mission & Values At RMH Franchise, we’re striving to be a multi-brand restaurant company focused on operational excellence and a thriving team culture. We grow and promote our talent from within, and we live our mission and values of PRIDE every day.RMH Franchise Mission, Vision & Values"
Nabors Industries,"Nabors Industries Mission, Vision & Values Nabors Industries Mission Statement We deliver best-in-class drilling performance through our exceptional people, execution, teamwork and technology.Nabors Industries Vision Statement To be the driller of choice for employees, customers and investors.Nabors Industries Values Safety Teamwork Excellence Accountability."
Valleywise Health,null
Palm Beach County,null
Atlantic Union Bank,null
EMC,"EMCOR Group Mission, Vision & ValuesEMCOR Group Mission Statement We will grow by understanding our customers, making it easier for them to do what they do.EMCOR Group Vision Statement To deliver sustainable value and to be admired by those whose lives we touch.EMCOR Group Values Safety First Responsive Collaboration Integrity CaringEMCOR Group Mission, Vision & Values"
Baltimore Ravens,null
The Ohio State University Department of Athletics,null
Medica,"""Medical Solutions Mission, Vision & Values Medical Solutions Mission & Values Our goal is to provide, """"""""Service that Inspires"""""""" and that's been our mission since 2001. It's why Medical Solutions continues to be on the leading edge of the Travel Nursing industry. Our knowledgeable"
St. Norbert College,null
East Central University,null
Drexel University's LeBow College of Business,null
Henri Bendel,"Henri Bendel Mission, Vision & Values Henri Bendel Mission & Values Follow the Bendel Girls for The New & The Next.Henri Bendel Mission, Vision & Values"
Vivint Solar,null
Jeunesse Global,"Insight Global Mission, Vision & Values Insight Global Mission Statement Our purpose is to develop our people personally, professionally, and financially so they can be the light for the world around them.Insight Global Vision Statement We aren’t just a staffing company. We’re a company that cares for others. It might sound lofty, but it's the idea that gets us up everyday, determined to make it true. Insight Global is a company that people can anchor to in moments of triumph, struggle, and every time in between. Whoever you are and wherever you come from, you matter to us and we have your back. Together, anything is possible.Insight Global Values Everyone Matters We Take Care of Each Other Leadership is Here to Serve High Character and Hard Work Always Know Where You Stand Insight Global Mission, Vision & Values"
LSU Health Sciences Center New Orleans,null
NewYork-Presbyterian Hospital,"New York-Presbyterian/Hudson Valley Hospital Mission, Vision & Values New York-Presbyterian/Hudson Valley Hospital Mission Statement It’s the kind of work that requires an unwavering commitment to excellence and a steady spirit of professionalism. And it’s a unique opportunity for you to collaborate with some of the brightest minds in health care, while building on our success as one of the nation’s best hospitals.New York-Presbyterian/Hudson Valley Hospital Vision Statement One of the most comprehensive health care institutions in the world, New York-Presbyterian’s vision is to be among the top academic medical centers in the nation in clinical and service excellence, patient safety, research, education, and community service. We are committed to We Put Patients First. This means that in everything we do, we make patients our first priority and strive to provide them with the highest quality, safest, and most compassionate care and service.New York-Presbyterian/Hudson Valley Hospital Values Responsibility Excellence Empathy Respect Innovation Teamwork New York-Presbyterian/Hudson Valley Hospital Mission, Vision & Values"
Keurig Dr Pepper Inc.,null
ADC,"Ad Colony Mission, Vision & Values Ad Colony Mission & Values Ad Colony is a mobile video advertising company whose proprietary Instant-Play™ technology serves razor sharp, full-screen video ads instantly in HD across its network of iOS and Android apps, eliminating the biggest pain points in mobile video advertising: long load times and grainy, choppy video.
"
As a leading mobile video advertising and monetization platform, Ad Colony works with both Fortune 500 brands and more than half of the top grossing publishers in the App Store. The company’s reach
Suffolk Public Schools,null
Ouachita Baptist University,null
University of Maryland Medical System,"University of Maryland Medical System Mission, Vision & Values University of Maryland Medical System Mission Statement Building upon the UMMS tradition of excellence in patient care and innovation, we aspire to be a national thought leader in the transformation of health care.University of Maryland Medical System Values Compassion Community Commitment Health Care Transformation Discovery-Based Medicine University of Maryland Medical System Mission, Vision & Values"
New York City Department of Transportation,null
Ecova,"Ecova Mission, Vision & Values Ecova Mission & Values Engie Insight’s commitment to corporate responsibility extends our mission to all aspects of our day-to-day work, from being active in the communities where we live and work to protecting the environment through smarter resource management. We continue to see progress year over year, as evidenced in our latest report.Ecova Mission, Vision & Values"
Breakthru Beverage Group,null
American Enterprise Institute,null
The College Board,null
City of Saint Paul,null
Power Home Remodeling,"Power Home Remodeling Mission, Vision & Values Power Home Remodeling Mission Statement As the nation’s largest full-service exterior home remodeler, we realize this purpose of creating positive change by being people-first. Our employees and our customers will always come before profit.Power Home Remodeling Vision Statement Power is a dream realization company — believing our purpose is to create positive change in everything we touch — from our customers’ homes to our employees’ lives, to the communities we live and work in. As the nation’s largest full-service exterior home remodeler, we realize this purpose by being people-first. Our employees and our customers will always come before profit.Power Home Remodeling Values Integrity Grit Optimism Innovation Caring Power Home Remodeling Mission, Vision & Values"
Midwestern State University,null
"Morton Buildings, Inc.",null
KLA,"Klaviyo Mission, Vision & Values Klaviyo Mission Statement We exist to empower creators to own their destiny.Klaviyo Vision Statement Power smarter digital relationships.Klaviyo Values We always put our customers first.We are always learning.We strive to make the world more equitable.We collaborate radically.We are ambitious.We are remarkable.We are owners.Klaviyo Mission, Vision & Values"
Ste. Michelle Wine Estates,null
Momentum Solar,"Momentum Solar Mission, Vision & Values Momentum Solar Mission & Values Our mission is to enable our customers to take control over their rising electricity costs and start generating cleaner, price-protected power. We are committed to helping homeowners better the environment and achieve freedom from fossil fuels.Momentum Solar Mission, Vision & Values"
Lake County Schools,null
Daytona State College,null
USA TODAY,"USA Today Mission, Vision & ValuesUSA Today Mission & ValuesUSA TODAY is a multi-platform news and information media company. Founded in 1982, its mission is to serve as a forum for better understanding and unity to help make the USA truly one nation.USA Today Mission, Vision & Values"
NASA Goddard Space Flight Center,null
Eye Level Learning,null
Wells Fargo Insurance Services,null
St. Luke's University Health Network,null
Bay Cove Human Services,null
Universal Cheerleaders Association,"UHS (Universal Health Services) Mission, Vision & ValuesUHS (Universal Health Services) Mission Statement To provide superior quality healthcare services that:  PATIENTS recommend to family and friends, PHYSICIANS prefer for their patients, PURCHASERS select for their clients, EMPLOYEES are proud of, and INVESTORS seek for long-term returns.UHS (Universal Health Services) Values Service Excellence Continuous Improvement in Measurable Ways Employee Development Ethical and Fair Treatment of All Teamwork Compassion Innovation in Service DeliveryUHS (Universal Health Services) Mission, Vision & Values"
General Nutrition Center,null
Atlantic Southeast Airlines,null
sweetFrog Frozen Yogurt,null
Camelback Resort,"Universal Orlando Resort Mission, Vision & Values Universal Orlando Resort Mission Statement We are committed to providing an inclusive environment where our Team Members are proud to work, delivering extraordinary guest experiences, and as a result generating a fair and responsible profit.Universal Orlando Resort Vision Statement To be recognized as the number one entertainment destination in the world!Universal Orlando Resort Values We do the right thing We are innovators We drive results We are team players We make safety a priority We value our community We have fun!Universal Orlando Resort Mission, Vision & Values"
Freelance,"Freelance.com Mission, Vision & Values Freelance.com Mission & Values We structure and secure the relationships between companies and talented self-employed workers.Freelance.com Vision Statement We think that big companies are locomotives. For the economy: They engage the biggest projects. They structure the technological, methodological and commercial frameworks. They open huge markets to their suppliers.  For employability: The long-term vision and investment capacities of large companies make it possible to develop sustainable marketable expertise.  We believe that the majority of workers will be non-salaried. Deciding what to do: In the United States,  in 3 workers is freelance. It is not just a quest for freedom, but an aspiration to decide which topics to engage with time, skills and income.  Unmissable, expert and committed work force:  The income of non-employees depends solely on their know-how and the satisfaction of their customers. They represent a broader spectrum of skills than any structured enterprise. For all these reasons, they constitute a breeding ground today essential.  We believe that platform and human expertise are inseparable. Private Platform:  Large companies need a platform that adapts to their internal operating rules and tools. They are looking for skills related to their projects, which are therefore clearly identified - so they need a personalized platform that helps them to filter the most relevant profiles.  Experts in recruitment:  The placement of experts is an activity based on the match between a mission and a context on the one hand, and the best candidate (hard skills and soft skills) on the other hand. The exchange, the quality of the qualification, the consideration of the human are essential for a successful relationship.Freelance.com Mission, Vision & Values"
Washington State Department of Ecology,null
AAMCO Transmissions and Total Car Care,"Aamco Transmissions Mission, Vision & Values Aamco Transmissions Mission & Values We apply a professional approach to maintenance for your entire car, truck or SUV. From tune-ups to oil changes, our specially trained technicians make it more convenient for you than ever to drive with confidence.Aamco Transmissions Mission, Vision & Values"
Swagelok,null
Puget Sound Energy,"Puget Sound Energy Mission, Vision & Values Puget Sound Energy Mission & ValuesPSE's focus on safe, reliable, affordable energy service. And we're proud of our legacy: a commitment to great customer service and helping to make our communities better places to live and work.Puget Sound Energy Mission, Vision & Values"
America Reads,"Bank of America Mission, Vision & Values Bank of America Mission & Values Helping to make financial lives better, through the power of every connection.Bank of America Vision Statement Vision is to continue to help theircustomers grow and demonstrate how they can turn opportunities into reality.Bank of America Mission, Vision & Values"
Cerebral,"Cerebral Technologies Mission, Vision & Values Cerebral Technologies Mission Statement To become a global Leader in providing a unique blend of business and technology consulting services to solve business challenges To identify and craft cutting edge technology solutions by industry To be recognized for its innovation and forwarding thinking initiatives To be true to our values and ethics.Cerebral Technologies Values Commitment towards customers Respect for the dignity, rights and contribution of employees Value of supply chain relationship Entrepreneurial outlook Cerebral Technologies Mission, Vision & Values"
Wayne County Community College District,null
U.S. Commercial Service,null
AdaptHealth,null
"BAE Systems, Inc.",null
County of Marin,null
Purdue Pharma L.P.,null
Equinox,"Equinox Mission, Vision & Values Equinox Mission & Values\Equinox Mission, Vision & Values"
ALKU,"ALKU Mission, Vision & ValuesALKU Mission Statement We patiently and continuously recruit bright, motivated people, present them with opportunity, and reward them for their efforts. At ALKU®, we believe you can truly Have Fun while Working Hard and practice that belief every day.ALKU Values Have Fun Working Hard®TransparencyALKU Mission, Vision & Values"
Sheraton Hotels & Resorts,"Choice Hotels Mission, Vision & Values Choice Hotels Mission Statement Where our award-winning culture and cutting-edge technology create something extraordinary. At Choice, we welcome and respect your voice and foster a culture that empowers you to learn, grow, and make your impact. When you
"
Make it your Choice,null
null, you’ll have the environment
Amtrak,"Amtrak Mission, Vision & Values Amtrak Mission & Values Amtrak Mission: Delivering intercity transportation with superior safety, customer service and financial excellence.Amtrak Vision Statement Moving America Where it wants to go We are not just a railroad; we are a company that moves people. We move customers where they want to go by responding to their wants and needs. And by doing so, we connect communities, economies and families that make our nation great.Amtrak Mission, Vision & Values"
Feld Entertainment,"""Feld Entertainment Mission, Vision & Values Feld Entertainment Mission & Values Our productions create memories, stimulate the imagination and touch the heart.""""""""Feld Entertainment Mission"
Gardner-Webb University,null
United States Census Bureau - Jobs,null
YMCA of Greater Providence,null
North Carolina Museum of Natural Sciences,"North Carolina Museum of Art Foundation Mission, Vision & Values North Carolina Museum of Art Foundation Mission & Values The North Carolina Museum of Art Foundation works to foster and promote the growth, progress and general welfare of the North Carolina Museum of Art, which houses the art collections of the State of North Carolina. Currently closed for renovations, the Museum's new 127,000-square-foot building will open in April 2010, creating a beautiful home for the permanent collection with dramatically expanded exhibition space highlighted by day-lit galleries. Encompassing 164 acres of fields, woodlands, and creeks, the Museum Park presents a unique setting to explore the intersection between art and nature."
Cypress College,null
ScribeAmerica,null
Edgewood Center for Children and Families,null
Stella & Dot,"Stella & Dot Mission, Vision & Values Stella & Dot Mission & ValuesTO GIVE EVERY WOMAN THE MEANS TO STYLE HER OWN LIFE. We get great joy out of designing irresistible jewelry. And yet, jewelry is just the tangible expression of something much greater we are creating. We have a vision of the world where STRONG WOMEN LIVE BOLD and joyful lives. They know what they want and they work for it. They inspire each other. Passion and joy are their best accessories.Stella & Dot Mission, Vision & Values"
Franklin High School,null
Piercing Pagoda,null
U.S. Navy Reserve,null
First American Bank,"First American Bank Mission, Vision & Values First American Bank Mission Statement Big bank financial services combined with the personal attention only a local community bank can provide.First American Bank Vision Statement To have the strength and stability that comes from a consistent, diversified earnings stream, strong internal equity generation, sound asset quality, and a liquid and conservative balance sheet.First American Bank Values Efficiency Environment protection Standard based First American Bank Mission, Vision & Values"
The Scotts Miracle-Gro Company,null
Southwestern Company,null
Pacific Medical Centers,null
School of Rock,"School of Rock Mission, Vision & Values School of Rock Mission & Valueswe are a growing and passionate community dedicated to enriching lives through performance-based music education. Our amazing franchisees across the world are our partners in this mission.School of Rock Mission, Vision & Values"
Rainbow Apparel Co,null
Scholastic,"Scholastic Mission, Vision & Values Scholastic Mission & Values Scholastic Corporation (NASDAQ: SCHL) is the world's largest publisher and distributor of children's books, a leading provider of print and digital instructional materials for pre-K to grade 12, and a producer of educational and entertaining children’s media. The Company creates quality books and ebooks, print and technology-based learning materials and programs, classroom magazines and other products that, in combination, offer schools customized and comprehensive solutions to support children’s learning both at school and at home. The Company also makes quality, affordable books available to all children through school-based book clubs and book fairs. With a 94 year history of service to schools and families, Scholastic continues to carry out its commitment to “Open a World of Possible” for all children.Scholastic Mission, Vision & Values"
College of the Sequoias,null
General Atomics,"General Atomics Aeronautical Systems Mission, Vision & Values General Atomics Aeronautical Systems Mission Statement The Mission Systems business unit designs, manufactures, and integrates the Lynx(R)Multi-mode Radar and the highly sophisticated Claw(R)sensor payload control and image analysis software on to both manned and remotely piloted aircraft. It also integrates other sensor and communication equipment into manned Intelligence, Surveillance, and Reconnaissance (ISR) aircraft and develops emerging technologies in electro-optical sensors, and meta-material antennas General Atomics Aeronautical Systems Vision Statement Our vision is that MQ-9B will be the first RPA certified to fly in national and international airspace. To achieve that goal, our GCS needs to be type-certified, as well. Completing an end-to end flight was an important step in achieving that ultimate goal General Atomics Aeronautical Systems Values Goal Important Achieving General Atomics Aeronautical Systems Mission, Vision & Values"
American Tower,"American Tower Mission, Vision & Values American Tower Mission Statement Lead wireless connectivity around the globe. Innovate for a mobile future. Drive efficiency throughout the industry. Grow our assets and capabilities to meet customer needs.American Tower Vision Statement We make wireless communication possible everywhere.American Tower Values Understand our customers' needs and satisfy them.Hire good people and empower them.Focus on solutions, not problems.Do what we say we're going to do.Have fun.Play to win."
Aegis Living,"Aegis Living Mission, Vision & Values Aegis Living Mission & Values At Aegis Living, we truly believe that each employee is the cornerstone to not only our current success, but also to our future success as a company. We have created a unique company culture that strives to appreciate and support our employees in their career ambitions and in their lives.Aegis Living Mission, Vision & Values"
EFI,"EFI Mission, Vision & ValuesEFI Mission & Values We believe it is essential to encourage people to use our planet’s limited energy and water resources wisely. We assist people in these efforts by offering high quality conservation products and services at affordable prices while communicating practical, objective information. We believe that by following this mission, our work will lead to an improved quality of life and economic condition.EFI Mission, Vision & Values"
Florida Department of Financial Services,null
Not Applicable,"Gravity Not Applicable Mission, Vision & Values Gravity Not Applicable Mission & Values We develop and launch technology centric ideas into working projects. We nuture these projects into fully-fledged companies. We provide investment, design, development, and management resources.Gravity Not Applicable Mission, Vision & Values"
University of Nebraska at Omaha,null
Hospital for Special Surgery,null
The Mill,"The Mill Mission, Vision & Values The Mill Mission & Values The Mill is a world-leading visual effects and content creation studio, collaborating on projects for the advertising, gaming and music industries. We pride ourselves on building partnerships based on creative excellence and cutting-edge technologies, with the world’s best agencies, groundbreaking directors, creative firms and visionary brands.The Mill Mission, Vision & Values"
